,ordernumber,orderdate,channel,order_quantity,unit_price,revenue,total_unit_cost,profit_per_unit,customer_names,product_name,county,state_code,state,region_type,latitude,longitude,population,region,2017_budgets
2766,SO - 0008735,2017-03-10,Wholesale,10,1695.1000000000001,16951.0,1406.933,288.16700000000014,Topco Company,Product 2,San Diego County,CA,California,City,32.71533,-117.15726,1394928,West,3050087.565
2767,SO - 0001826,2017-03-10,Wholesale,7,2458.9,17212.3,1524.518,934.3820000000001,Cogilith Group,Product 25,Oneida County,NY,New York,City,43.1009,-75.23266,61100,Northeast,5342315.484
2768,SO - 0003108,2017-03-10,Export,6,1125.6000000000001,6753.6,529.032,596.5680000000001,Cantrell Company,Product 2,Kern County,CA,California,City,35.76884,-119.24705,52733,West,3050087.565
2769,SO - 0003524,2017-03-10,Wholesale,9,984.9,8864.1,512.148,472.75199999999995,Zooveo Company,Product 1,Oakland County,MI,Michigan,City,42.48948,-83.14465,59008,Midwest,3016489.209
2770,SO - 0004598,2017-03-10,Wholesale,6,2599.6,15597.599999999999,1637.748,961.8519999999999,Skiptube Ltd,Product 3,Sarpy County,NE,Nebraska,City,41.13667,-95.89084,55510,Midwest,2642352.432
2771,SO - 0005264,2017-03-10,Distributor,6,824.1,4944.6,354.363,469.737,Divanoodle Ltd,Product 5,Chatham County/Wake County,NC,North Carolina,Town,35.78088,-78.81327,159769,South,3925424.5420000004
2772,SO - 0005932,2017-03-10,Wholesale,8,6344.900000000001,50759.200000000004,3616.593,2728.3070000000007,Lazzy Group,Product 18,Essex County,MA,Massachusetts,City,42.52787,-70.92866,52504,Northeast,2309499.045
2773,SO - 0004366,2017-03-10,Distributor,10,1929.6000000000001,19296.0,1041.9840000000002,887.616,Sanum-Kehl Group,Product 23,Montgomery County,AL,Alabama,City,32.36681,-86.29997,200602,South,1135815.7580000001
2774,SO - 0006349,2017-03-10,Wholesale,10,804.0,8040.0,329.64,474.36,Mycone Ltd,Product 15,Santa Clara County,CA,California,City,37.38605,-122.08385,80435,West,3299478.315
2775,SO - 0006610,2017-03-10,Wholesale,10,1105.5,11055.0,795.9599999999999,309.5400000000001,General Company,Product 15,Wyandotte County,KS,Kansas,City,39.11417,-94.62746,151306,Midwest,3299478.315
2776,SO - 0007855,2017-03-10,Wholesale,9,958.1,8622.9,421.564,536.5360000000001,sanofi-ave Group,Product 7,St. Joseph County,IN,Indiana,Township,41.66997,-86.27628,93008,Midwest,889737.555
2777,SO - 0009695,2017-03-10,Distributor,12,1005.0,12060.0,613.05,391.95000000000005,Skinder Group,Product 13,Hamilton County,OH,Ohio,City,39.162,-84.45689,298550,Midwest,3720639.645
2778,SO - 0008699,2017-03-10,Wholesale,12,3993.2000000000003,47918.4,1916.736,2076.464,Colgate-Pa Group,Product 18,Orange County,CA,California,City,33.42697,-117.61199,65526,West,2309499.045
2779,SO - 0008854,2017-03-10,Distributor,11,2680.0,29480.0,1608.0,1072.0,Wordtune Company,Product 25,Essex County,MA,Massachusetts,City,42.70704,-71.16311,80231,Northeast,5342315.484
2780,SO - 0009434,2017-03-10,Wholesale,7,1085.4,7597.800000000001,738.0720000000001,347.328,Deseret Group,Product 14,Santa Clara County,CA,California,City,37.33939,-121.89496,1026908,West,4028698.4090000005
2781,SO - 0010738,2017-03-10,Wholesale,12,1896.1000000000001,22753.2,1573.7630000000001,322.337,Revitol Company,Product 2,Clark County,NV,Nevada,CDP,36.21108,-115.07306,187647,West,3050087.565
2782,SO - 000189,2017-03-10,Export,9,3953.0,35577.0,3360.0499999999997,592.9500000000003,Viva Ltd,Product 12,Essex County,NJ,New Jersey,City,40.76732,-74.20487,64949,Northeast,1356976.996
2783,SO - 000326,2017-03-10,Wholesale,11,1212.7,13339.7,945.9060000000001,266.794,Gigabox Group,Product 22,Sacramento County,CA,California,City,38.58157,-121.4944,490712,West,663601.902
2784,SO - 0003406,2017-03-10,Wholesale,7,6137.2,42960.4,4296.04,1841.1599999999999,Zava Group,Product 6,Orange County,CA,California,City,33.52253,-117.70755,65806,West,1672229.416
2785,SO - 0004176,2017-03-10,Distributor,7,3309.8,23168.600000000002,2647.84,661.96,Aibox Company,Product 8,Stark County,OH,Ohio,Township,40.8686,-81.36892,52710,Midwest,1085037.3290000001
2786,SO - 0004849,2017-03-10,Wholesale,11,3859.2000000000003,42451.200000000004,1929.6000000000001,1929.6000000000001,Bath Group,Product 4,Santa Barbara County,CA,California,City,34.42083,-119.69819,91842,West,2885560.824
2787,SO - 0005581,2017-03-10,Wholesale,6,1855.9,11135.400000000001,816.596,1039.304,Jaxbean Group,Product 10,Collin County/Denton County/Dallas County,TX,Texas,City,32.98836,-96.89977,133168,South,864331.624
2788,SO - 0006146,2017-03-10,Distributor,8,1078.7,8629.6,442.267,636.433,Aldi Ltd,Product 4,Cabarrus County,NC,North Carolina,City,35.40875,-80.57951,87696,South,2885560.824
2789,SO - 0009238,2017-03-10,Distributor,10,3999.9,39999.0,2119.947,1879.953,Revitol Company,Product 25,Lake County,IL,Illinois,Township,42.19779,-87.94553,67935,Midwest,5342315.484
2790,SO - 0001041,2017-03-10,Distributor,12,2224.4,26692.800000000003,1401.372,823.028,Deseret Group,Product 20,Johnson County,IN,Indiana,City,39.61366,-86.10665,55586,Midwest,2067108.1199999999
2791,SO - 0002098,2017-03-10,Distributor,8,5038.400000000001,40307.200000000004,3526.88,1511.5200000000004,Oozz Group,Product 15,New Haven County,CT,Connecticut,City,41.27065,-72.94705,54927,Northeast,3299478.315
2792,SO - 0007185,2017-03-10,Wholesale,5,1715.2,8576.0,771.84,943.36,Trunyx Ltd,Product 26,Monroe County,NY,New York,Town,43.20981,-77.57206,50985,Northeast,5685138.2700000005
2793,SO - 0009462,2017-03-10,Wholesale,8,247.9,1983.2,114.034,133.86599999999999,Snaptags Ltd,Product 27,Marion County,IN,Indiana,Township,39.77514,-86.01718,103365,Midwest,964940.2310000001
2794,SO - 0009452,2017-03-10,Wholesale,7,737.0,5159.0,574.86,162.14,Pixoboo Corp,Product 1,Wayne County,MI,Michigan,Charter Township,42.30754,-83.48577,89879,Midwest,3016489.209
2795,SO - 0001957,2017-03-10,Wholesale,9,1031.8,9286.199999999999,835.758,196.04199999999992,SEINDNI Corp,Product 21,Elkhart County,IN,Indiana,City,41.68199,-85.97667,52348,Midwest,959899.2180000001
2796,SO - 0002645,2017-03-10,Wholesale,7,227.8,1594.6000000000001,95.676,132.12400000000002,Accudial Company,Product 20,Fort Bend County/Harris County/Brazoria County,TX,Texas,City,29.55576,-95.32307,108821,South,2067108.1199999999
2797,SO - 0004305,2017-03-10,Export,10,221.1,2211.0,112.761,108.339,Rooxo Company,Product 26,Portsmouth city,VA,Virginia,City,36.83543,-76.29827,96201,South,5685138.2700000005
2798,SO - 0005368,2017-03-10,Export,5,2559.4,12797.0,1330.8880000000001,1228.512,Fivechat Company,Product 4,Westchester County,NY,New York,City,40.93121,-73.89875,201116,Northeast,2885560.824
2799,SO - 0005378,2017-03-10,Export,11,6056.8,66624.8,5148.28,908.5200000000004,SAFEWAY Ltd,Product 26,St. Louis County,MO,Missouri,City,38.78922,-90.32261,52268,Midwest,5685138.2700000005
2800,SO - 0006272,2017-03-10,Wholesale,6,2659.9,15959.400000000001,1649.1380000000001,1010.762,Meejo Corp,Product 12,Lake County,IN,Indiana,Township,41.47812,-87.46166,67023,Midwest,1356976.996
2801,SO - 0006884,2017-03-10,Distributor,9,1788.9,16100.1,1484.787,304.11300000000006,Kare Corp,Product 12,Solano County,CA,California,City,38.10409,-122.25664,121253,West,1356976.996
2802,SO - 0009937,2017-03-10,Wholesale,7,1943.0,13601.0,835.49,1107.51,Organon Corp,Product 18,San Diego County,CA,California,City,32.79477,-116.96253,103679,West,2309499.045
2803,SO - 0009933,2017-03-10,Wholesale,11,3497.4,38471.4,2937.816,559.5840000000003,Kazu Corp,Product 10,Rockland County,NY,New York,Town,41.05369,-73.94809,50479,Northeast,864331.624
2804,SO - 0010434,2017-03-10,Wholesale,12,2539.3,30471.600000000002,1244.257,1295.0430000000001,EMD Group,Product 9,Broward County,FL,Florida,City,26.0112,-80.14949,149728,South,710415.405
2805,SO - 000769,2017-03-11,Wholesale,10,1226.1000000000001,12261.000000000002,588.528,637.5720000000001,Talane Group,Product 7,Macomb County,MI,Michigan,Charter Township,42.6731,-83.03656,77643,Midwest,889737.555
2806,SO - 0006446,2017-03-11,Distributor,8,2331.6,18652.8,1025.904,1305.696,Family Corp,Product 3,Madison County,TN,Tennessee,City,35.61452,-88.81395,66975,South,2642352.432
2807,SO - 0006913,2017-03-11,Distributor,11,1869.3,20562.3,1271.124,598.1759999999999,Buzzshare Company,Product 28,Lancaster County,PA,Pennsylvania,City,40.03788,-76.30551,59339,Northeast,1003867.767
2808,SO - 0002373,2017-03-11,Export,8,174.20000000000002,1393.6000000000001,101.036,73.16400000000002,Mylan Corp,Product 25,Placer County,CA,California,City,38.75212,-121.28801,130269,West,5342315.484
2809,SO - 0002727,2017-03-11,Export,9,1005.0,9045.0,854.25,150.75,Pacific Ltd,Product 4,Maricopa County,AZ,Arizona,City,33.41477,-111.90931,175826,West,2885560.824
2810,SO - 0005601,2017-03-11,Wholesale,10,1695.1000000000001,16951.0,1406.933,288.16700000000014,Topco Company,Product 2,Middlesex County,NJ,New Jersey,Township,40.40463,-74.30854,67215,Northeast,3050087.565
2811,SO - 0006419,2017-03-11,Distributor,10,1058.6000000000001,10586.000000000002,666.9180000000001,391.682,Skiptube Ltd,Product 14,Los Angeles County,CA,California,CDP,33.99307,-117.96868,55179,West,4028698.4090000005
2812,SO - 0008495,2017-03-11,Wholesale,9,670.0,6030.0,435.5,234.5,Colgate-Pa Group,Product 1,Orange County,CA,California,City,33.87224,-117.87034,52495,West,3016489.209
2813,SO - 0010067,2017-03-11,Export,11,2458.9,27047.9,1524.518,934.3820000000001,Skyvu Group,Product 10,Harrisonburg city,VA,Virginia,City,38.44957,-78.86892,52538,South,864331.624
2814,SO - 0010021,2017-03-11,Distributor,9,1072.0,9648.0,493.12,578.88,Chatterpoi Corp,Product 1,Oakland County,MI,Michigan,City,42.60559,-83.14993,83280,Midwest,3016489.209
2815,SO - 0008384,2017-03-11,Wholesale,7,2211.0,15477.0,1392.93,818.0699999999999,Pacific Ltd,Product 26,Union County,NJ,New Jersey,City,40.66399,-74.2107,129007,Northeast,5685138.2700000005
2816,SO - 0003977,2017-03-11,Export,8,1031.8,8254.4,784.168,247.63199999999995,MEIJER Corp,Product 5,Hudson County,NJ,New Jersey,City,40.77955,-74.02375,69156,Northeast,3925424.5420000004
2817,SO - 0004466,2017-03-11,Wholesale,8,174.20000000000002,1393.6000000000001,85.358,88.84200000000001,American Corp,Product 23,East Baton Rouge Parish,LA,Louisiana,City,30.45075,-91.15455,228590,South,1135815.7580000001
2818,SO - 0005241,2017-03-11,Wholesale,7,214.4,1500.8,124.35199999999999,90.04800000000002,Aibox Company,Product 12,Orange County,FL,Florida,City,28.53834,-81.37924,270934,South,1356976.996
2819,SO - 0006682,2017-03-11,Wholesale,12,3664.9,43978.8,2198.94,1465.96,Revitol Company,Product 14,Cook County/DuPage County,IL,Illinois,City,41.83755,-87.68184,2720546,Midwest,4028698.4090000005
2820,SO - 0010309,2017-03-11,Wholesale,11,1018.4,11202.4,824.904,193.49599999999998,Podcat Corp,Product 16,Adams County/Weld County,CO,Colorado,City,39.91942,-104.94281,133451,West,2062061.144
2821,SO - 0010184,2017-03-11,Wholesale,9,254.6,2291.4,152.76,101.84,Skiptube Ltd,Product 25,Placer County,CA,California,City,38.79073,-121.23578,61213,West,5342315.484
2822,SO - 0009303,2017-03-11,Wholesale,12,837.5,10050.0,628.125,209.375,Avavee Group,Product 16,Montgomery County,AL,Alabama,City,32.36681,-86.29997,200602,South,2062061.144
2823,SO - 000921,2017-03-11,Export,7,3819.0,26733.0,3207.96,611.04,Topco Company,Product 14,Lane County,OR,Oregon,City,44.04624,-123.02203,60870,West,4028698.4090000005
2824,SO - 0002200,2017-03-11,Distributor,9,3819.0,34371.0,1565.79,2253.21,Cogilith Group,Product 13,Erie County,PA,Pennsylvania,Township,42.08594,-80.1199,54003,Northeast,3720639.645
2825,SO - 0002919,2017-03-11,Export,6,971.5,5829.0,806.3449999999999,165.1550000000001,True Ltd,Product 25,Marin County,CA,California,City,38.10742,-122.5697,55530,West,5342315.484
2826,SO - 0003286,2017-03-11,Wholesale,9,2331.6,20984.399999999998,1538.856,792.7439999999999,Realbridge Corp,Product 13,Orange County,CA,California,City,33.60002,-117.672,97156,West,3720639.645
2827,SO - 0004023,2017-03-11,Wholesale,5,1775.5,8877.5,1384.89,390.6099999999999,Camido Company,Product 26,Macomb County,MI,Michigan,Charter Township,42.6731,-83.03656,77643,Midwest,5685138.2700000005
2828,SO - 0004063,2017-03-11,Wholesale,5,1145.7,5728.5,928.017,217.683,Dynazzy Company,Product 4,Broward County,FL,Florida,Town,26.06287,-80.2331,100882,South,2885560.824
2829,SO - 0005906,2017-03-11,Wholesale,6,2217.7000000000003,13306.2,1618.921,598.7790000000002,Cantrell Company,Product 25,Baltimore County,MD,Maryland,CDP,39.4015,-76.60191,57146,South,5342315.484
2830,SO - 0005954,2017-03-11,Wholesale,6,1259.6000000000001,7557.6,831.3360000000001,428.264,Talane Group,Product 29,Kent County,MI,Michigan,City,42.96336,-85.66809,195097,Midwest,594471.5700000001
2831,SO - 0006738,2017-03-11,Distributor,5,1996.6000000000001,9983.0,1078.1640000000002,918.4359999999999,Holston Company,Product 3,Santa Clara County,CA,California,City,37.00578,-121.56828,53231,West,2642352.432
2832,SO - 0007311,2017-03-11,Wholesale,9,214.4,1929.6000000000001,180.096,34.304,Ozu Ltd,Product 12,Kane County,IL,Illinois,Township,42.11043,-88.30135,65946,Midwest,1356976.996
2833,SO - 0008552,2017-03-11,Wholesale,8,2452.2000000000003,19617.600000000002,1324.1880000000003,1128.012,Talane Group,Product 16,Camden County,NJ,New Jersey,City,39.92595,-75.11962,76119,Northeast,2062061.144
2834,SO - 0002467,2017-03-11,Distributor,5,2472.3,12361.5,1161.981,1310.3190000000002,Liberty Group,Product 20,San Diego County,CA,California,City,33.19587,-117.37948,175691,West,2067108.1199999999
2835,SO - 0003211,2017-03-11,Wholesale,9,2385.2000000000003,21466.800000000003,1550.3800000000003,834.8199999999999,Kaymbo Company,Product 25,San Diego County,CA,California,City,32.67806,-117.09917,61060,West,5342315.484
2836,SO - 0004226,2017-03-11,Wholesale,11,924.6,10170.6,656.466,268.134,Vitz Company,Product 15,Elkhart County,IN,Indiana,Township,41.65183,-85.94312,55462,Midwest,3299478.315
2837,SO - 0007406,2017-03-11,Wholesale,10,1708.5,17085.0,1008.015,700.485,Divanoodle Ltd,Product 16,Los Angeles County,CA,California,City,34.57943,-118.11646,158351,West,2062061.144
2838,SO - 0007757,2017-03-11,Wholesale,12,5406.900000000001,64882.8,4325.52,1081.38,WOCKHARDT Group,Product 26,Brown County,WI,Wisconsin,City,44.51916,-88.01983,105207,Midwest,5685138.2700000005
2839,SO - 0010541,2017-03-11,Distributor,12,1889.4,22672.800000000003,963.594,925.806,Wordtune Company,Product 26,Santa Clara County,CA,California,City,37.44188,-122.14302,66853,West,5685138.2700000005
2840,SO - 000447,2017-03-11,Export,6,3490.7000000000003,20944.2,1780.257,1710.4430000000002,Jabbercube Corp,Product 14,Orange County,CA,California,City,33.86751,-117.99812,83270,West,4028698.4090000005
2841,SO - 000750,2017-03-11,Distributor,11,6318.1,69499.1,2590.421,3727.6790000000005,Aromaticos Company,Product 15,El Paso County,TX,Texas,City,31.75872,-106.48693,681124,South,3299478.315
2842,SO - 0002707,2017-03-11,Wholesale,9,2572.8,23155.2,1955.3280000000002,617.472,Twinte Group,Product 25,Union County,NJ,New Jersey,City,40.63371,-74.40737,51217,Northeast,5342315.484
2843,SO - 0002783,2017-03-11,Distributor,5,167.5,837.5,117.24999999999999,50.250000000000014,Quaxo Ltd,Product 25,Cook County,IL,Illinois,Township,42.02911,-88.08951,132162,Midwest,5342315.484
2844,SO - 0003309,2017-03-11,Export,7,2351.7000000000003,16461.9,1622.673,729.0270000000003,Vimbo Company,Product 19,Prince William County,VA,Virginia,CDP,38.63706,-77.31109,70381,South,1645841.6
2845,SO - 0003910,2017-03-11,Export,8,5293.0,42344.0,2487.71,2805.29,Skajo Ltd,Product 27,Whatcom County,WA,Washington,City,48.75955,-122.48822,85146,West,964940.2310000001
2846,SO - 0004023,2017-03-11,Wholesale,5,1775.5,8877.5,1384.89,390.6099999999999,Camido Company,Product 26,Cook County,IL,Illinois,Village,42.08836,-87.98063,75926,Midwest,5685138.2700000005
2847,SO - 0006250,2017-03-11,Wholesale,5,1882.7,9413.5,1299.0629999999999,583.6370000000002,Skajo Ltd,Product 30,Dallas County,TX,Texas,City,32.58986,-96.85695,52486,South,1011609.684
2848,SO - 0006750,2017-03-11,Wholesale,12,1775.5,21306.0,1083.055,692.4449999999999,NARS Group,Product 20,Hampden County,MA,Massachusetts,City,42.1487,-72.60787,56741,Northeast,2067108.1199999999
2849,SO - 0007507,2017-03-11,Wholesale,5,1701.8,8509.0,1412.494,289.30600000000004,Actavis Company,Product 14,Providence County,RI,Rhode Island,City,41.82399,-71.41283,179207,Northeast,4028698.4090000005
2850,SO - 000122,2017-03-12,Export,12,991.6,11899.2,654.456,337.144,Aimbo Corp,Product 26,Montgomery County,AL,Alabama,City,32.36681,-86.29997,200602,South,5685138.2700000005
2851,SO - 0001905,2017-03-12,Wholesale,9,2626.4,23637.600000000002,2101.1200000000003,525.2799999999997,Vitz Company,Product 13,Jefferson Parish,LA,Louisiana,CDP,29.984090000000002,-90.15285,140074,South,3720639.645
2852,SO - 0001938,2017-03-12,Wholesale,6,1172.5,7035.0,644.875,527.625,Snaptags Ltd,Product 21,Hartford County,CT,Connecticut,CDP,41.76204,-72.74204,63396,Northeast,959899.2180000001
2853,SO - 0002715,2017-03-12,Wholesale,6,3839.1,23034.6,2495.415,1343.685,Twinte Group,Product 4,Broome County,NY,New York,Town,42.12662,-76.03324,54995,Northeast,2885560.824
2854,SO - 0004538,2017-03-12,Wholesale,9,2559.4,23034.600000000002,1791.58,767.8200000000002,Quaxo Ltd,Product 22,Riverside County,CA,California,City,33.96358,-117.56418,59039,West,663601.902
2855,SO - 0005091,2017-03-12,Export,9,1018.4,9165.6,407.36,611.04,Gabvine Ltd,Product 9,Norfolk city,VA,Virginia,City,36.84681,-76.28522,246393,South,710415.405
2856,SO - 0005470,2017-03-12,Export,7,234.5,1641.5,192.29,42.21000000000001,Cogidoo Company,Product 25,Cook County,IL,Illinois,Township,41.51591,-87.60098,91132,Midwest,5342315.484
2857,SO - 0006483,2017-03-12,Wholesale,8,2519.2000000000003,20153.600000000002,1158.832,1360.3680000000002,Valeant Corp,Product 13,Essex County,MA,Massachusetts,City,42.52787,-70.92866,52504,Northeast,3720639.645
2858,SO - 0007885,2017-03-12,Distributor,5,3966.4,19832.0,1745.2160000000001,2221.184,Accudial Company,Product 23,Norfolk County,MA,Massachusetts,Town,42.32385,-71.142,59195,Northeast,1135815.7580000001
2859,SO - 0007974,2017-03-12,Wholesale,8,730.3000000000001,5842.400000000001,460.08900000000006,270.211,Viva Ltd,Product 13,Fulton County/Cobb County,GA,Georgia,City,34.03945,-84.35095,94501,South,3720639.645
2860,SO - 0009663,2017-03-12,Distributor,11,991.6,10907.6,644.5400000000001,347.05999999999995,Zooxo Ltd,Product 29,Dale County/Houston County/Henry County,AL,Alabama,City,31.2337,-85.40682,68567,South,594471.5700000001
2861,SO - 0001009,2017-03-12,Wholesale,10,3289.7000000000003,32897.0,1875.129,1414.5710000000004,Aimbo Corp,Product 4,Cook County,IL,Illinois,Village,42.03336,-87.73339,64821,Midwest,2885560.824
2862,SO - 0003800,2017-03-12,Wholesale,5,5621.3,28106.5,2754.437,2866.8630000000003,Yombu Corp,Product 29,Harris County,TX,Texas,City,29.69106,-95.2091,153784,South,594471.5700000001
2863,SO - 0006099,2017-03-12,Distributor,5,1152.4,5762.0,691.44,460.96000000000004,Omba Group,Product 11,Palm Beach County,FL,Florida,Town,26.93422,-80.09421,62707,South,1230458.484
2864,SO - 0007394,2017-03-12,Wholesale,6,207.70000000000002,1246.2,149.544,58.156000000000006,CLINIQUE Ltd,Product 4,Miami-Dade County,FL,Florida,CDP,25.70816,-80.407,58767,South,2885560.824
2865,SO - 0007598,2017-03-12,Export,12,1085.4,13024.800000000001,477.576,607.8240000000001,WOONSOCKET Corp,Product 6,Cook County,IL,Illinois,Township,41.93807,-87.8685,92862,Midwest,1672229.416
2866,SO - 0008840,2017-03-12,Distributor,7,844.2,5909.400000000001,616.266,227.93400000000008,Actavis Company,Product 2,Buchanan County,MO,Missouri,City,39.76861,-94.84663,76596,Midwest,3050087.565
2867,SO - 0008202,2017-03-12,Distributor,8,1112.2,8897.6,767.418,344.78200000000004,Aromaticos Company,Product 15,Cook County,IL,Illinois,Village,41.71087,-87.75811,56781,Midwest,3299478.315
2868,SO - 000765,2017-03-12,Distributor,10,1976.5,19765.0,1581.2,395.29999999999995,WOCKHARDT Group,Product 7,Santa Clara County,CA,California,City,37.42827,-121.90662,77604,West,889737.555
2869,SO - 000860,2017-03-12,Distributor,10,3189.2000000000003,31892.000000000004,2264.332,924.8680000000004,BTA Corp,Product 25,Caddo Parish/Bossier Parish,LA,Louisiana,City,32.46688,-93.79219,197204,South,5342315.484
2870,SO - 0001694,2017-03-12,Wholesale,7,1112.2,7785.400000000001,756.296,355.904,State Ltd,Product 25,Washington County,OR,Oregon,City,45.52289,-122.98983,102347,West,5342315.484
2871,SO - 0001736,2017-03-12,Distributor,10,207.70000000000002,2077.0,120.46600000000001,87.23400000000001,Realpoint Corp,Product 11,Ramsey County,MN,Minnesota,City,44.94441,-93.09327,300851,Midwest,1230458.484
2872,SO - 0003192,2017-03-12,Distributor,8,214.4,1715.2,150.07999999999998,64.32000000000002,Flipstorm Group,Product 5,Ocean County,NJ,New Jersey,Township,40.06177,-74.10956,75012,Northeast,3925424.5420000004
2873,SO - 0003375,2017-03-12,Distributor,9,1822.4,16401.600000000002,911.2,911.2,Lazzy Group,Product 3,Sandoval County/Bernalillo County,NM,New Mexico,City,35.28507,-106.69887,94171,West,2642352.432
2874,SO - 0003459,2017-03-12,Export,9,1058.6000000000001,9527.400000000001,539.8860000000001,518.714,Internatio Company,Product 16,King County,WA,Washington,City,47.64177,-122.0804,52253,West,2062061.144
2875,SO - 0004078,2017-03-12,Wholesale,6,1139.0,6834.0,501.16,637.8399999999999,Fivechat Company,Product 5,Lee County,FL,Florida,City,26.33981,-81.7787,51704,South,3925424.5420000004
2876,SO - 0005779,2017-03-12,Wholesale,7,1018.4,7128.8,814.72,203.67999999999995,Skyble Corp,Product 25,Wayne County,MI,Michigan,City,42.33143,-83.04575,677116,Midwest,5342315.484
2877,SO - 0009852,2017-03-12,Export,8,917.9,7343.2,541.5609999999999,376.33900000000006,Realcube Company,Product 20,Hillsborough County,NH,New Hampshire,City,42.76537,-71.46757,87970,Northeast,2067108.1199999999
2878,SO - 0008711,2017-03-12,Wholesale,10,2351.7000000000003,23517.000000000004,1293.4350000000002,1058.265,Family Corp,Product 18,Broward County,FL,Florida,City,26.14036,-80.21338,71579,South,2309499.045
2879,SO - 0008642,2017-03-12,Wholesale,10,696.8000000000001,6968.000000000001,578.344,118.45600000000002,Fivechat Company,Product 25,Lubbock County,TX,Texas,City,33.57786,-101.85517,249042,South,5342315.484
2880,SO - 0008751,2017-03-12,Wholesale,8,6157.3,49258.4,4617.975,1539.3249999999998,SUPERVALU Ltd,Product 25,Napa County,CA,California,City,38.29714,-122.28553,80434,West,5342315.484
2881,SO - 000346,2017-03-12,Wholesale,5,3899.4,19497.0,1871.712,2027.688,Accord Group,Product 25,Los Angeles County,CA,California,City,34.69804,-118.13674,161103,West,5342315.484
2882,SO - 0002135,2017-03-12,Wholesale,7,2385.2000000000003,16696.4,1454.9720000000002,930.2280000000001,Oozz Group,Product 12,Maricopa County,AZ,Arizona,Town,33.35283,-111.78903,247542,West,1356976.996
2883,SO - 0004125,2017-03-12,Wholesale,10,2224.4,22244.0,1846.252,378.14800000000014,Buzzshare Company,Product 1,Smith County,TX,Texas,City,32.35126,-95.30106,103700,South,3016489.209
2884,SO - 0006661,2017-03-12,Wholesale,6,3370.1,20220.6,2257.967,1112.1329999999998,Dynazzy Company,Product 17,Lorain County,OH,Ohio,City,41.45282,-82.18237,63647,Midwest,2119616.824
2885,SO - 0007858,2017-03-12,Distributor,8,1172.5,9380.0,867.65,304.85,Gigabox Group,Product 25,San Mateo County,CA,California,City,37.56299,-122.32553,103536,West,5342315.484
2886,SO - 0009487,2017-03-12,Wholesale,8,1038.5,8308.0,654.255,384.245,Talane Group,Product 5,Yakima County,WA,Washington,City,46.60207,-120.5059,93701,West,3925424.5420000004
2887,SO - 000240,2017-03-12,Wholesale,6,891.1,5346.6,712.8800000000001,178.2199999999999,Walgreen Corp,Product 29,Montgomery County,PA,Pennsylvania,Township,40.02991,-75.27897,58177,Northeast,594471.5700000001
2888,SO - 0005575,2017-03-12,Wholesale,9,1842.5,16582.5,1068.6499999999999,773.8500000000001,Muxo Group,Product 29,King County,WA,Washington,City,47.60621,-122.33207,684451,West,594471.5700000001
2889,SO - 0007243,2017-03-12,Distributor,12,2546.0,30552.0,1654.9,891.0999999999999,Pacific Ltd,Product 20,Monterey County,CA,California,City,36.67774,-121.6555,157380,West,2067108.1199999999
2890,SO - 0007634,2017-03-12,Wholesale,9,1085.4,9768.6,835.758,249.64200000000005,Vitz Company,Product 14,Wayne County,MI,Michigan,City,42.24087,-83.26965,61568,Midwest,4028698.4090000005
2891,SO - 000107,2017-03-12,Distributor,10,1192.6000000000001,11926.000000000002,536.6700000000001,655.9300000000001,Snaptags Ltd,Product 22,Will County,IL,Illinois,Township,41.5136,-87.84645,58934,Midwest,663601.902
2892,SO - 0001663,2017-03-12,Export,11,1132.3,12455.3,781.2869999999999,351.01300000000003,Valeant Corp,Product 14,San Diego County,CA,California,City,33.03699,-117.29198,62930,West,4028698.4090000005
2893,SO - 0003304,2017-03-12,Wholesale,12,1051.9,12622.800000000001,778.4060000000001,273.494,Aimbo Corp,Product 25,Vigo County,IN,Indiana,Township,39.47555,-87.38835,51268,Midwest,5342315.484
2894,SO - 0003726,2017-03-12,Distributor,12,187.6,2251.2,157.584,30.01599999999999,Oba Company,Product 13,Limestone County/Madison County,AL,Alabama,City,34.69901,-86.67298,190582,South,3720639.645
2895,SO - 0004507,2017-03-12,Wholesale,8,3852.5,30820.0,2041.825,1810.675,Accudial Company,Product 3,Will County,IL,Illinois,Township,41.50829,-88.08257,87325,Midwest,2642352.432
2896,SO - 0005369,2017-03-12,Distributor,11,3175.8,34933.8,2318.3340000000003,857.4659999999999,Eayo Company,Product 14,Clark County,NV,Nevada,CDP,36.02525,-115.24194,124564,West,4028698.4090000005
2897,SO - 0005397,2017-03-12,Export,9,1989.9,17909.100000000002,994.95,994.95,Pfizer Corp,Product 4,Greenville County,SC,South Carolina,City,34.85262,-82.39401,64579,South,2885560.824
2898,SO - 0005876,2017-03-12,Distributor,11,3953.0,43483.0,2767.1,1185.9,NCS Group,Product 26,Story County,IA,Iowa,City,42.03471,-93.61994,65060,Midwest,5685138.2700000005
2899,SO - 0007929,2017-03-12,Distributor,11,3752.0,41272.0,2363.76,1388.2399999999998,Buzzshare Company,Product 2,Broward County,FL,Florida,City,26.00315,-80.22394,166611,South,3050087.565
2900,SO - 0009453,2017-03-12,Distributor,11,2586.2000000000003,28448.200000000004,1965.5120000000002,620.6880000000001,Valeant Corp,Product 14,Fairfield County,CT,Connecticut,Town,41.20569,-73.12799,52609,Northeast,4028698.4090000005
